#,Actor,Categoria,Justificacion_Inclusion,Mendelow,Interes,Justificacion_Interes,Poder,Justificacion_Poder,Legitimidad,Justificacion_Legitimidad,Urgencia,Justificacion_Urgencia,Capacidad_Articulacion,Justificacion_Articulacion,Genero,Justificacion_Genero,Observaciones
11.0,EMCALI,Empresa de energía e infraestructura de carga,Empresa municipal que presta servicios de energía en Cali.,Manejar de cerca,6.0,"Reactivó su red de carga con la app Energicar (abril 2025) y actualmente opera entre 16 y 18 cargadores; fue socio fundador junto a Celsia y Bancolombia del primer piloto de buses eléctricos del MIO en 2019 (26 buses, $40.000 millones de inversión).",6.0,Su red es clave para conectar estaciones y flotas en una de las mayores áreas urbanas del país.,5.0,"Su justificación no incluye ninguna cifra propia de estaciones, cargadores o proyectos ejecutados, y usa lenguaje prospectivo (""puede contribuir a la expansión"") en lugar de logros ya alcanzados",5.0,"La electrificación del sistema MÍO genera demanda sobre su red eléctrica, pero esa demanda es externa y reactiva: EMCALI responde a decisiones de un tercero (el operador del sistema de transporte) en lugar de impulsar su propia agenda de electromovilidad.",4.0,"Su justificación limita explícitamente su alcance a Cali y el suroccidente colombiano, sin mencionar coordinación con entidades nacionales u operadores de otras regiones.",1.0,"No hay ninguna mención de política de género, diversidad o inclusión en su justificación institucional.",https://guiadelgas.com/cali-pone-a-rodar-los-primeros-26-buses-electricos-de-colombia/
12.0,ESSA,Empresa de energía e infraestructura de carga,Empresa de energía del Grupo EPM con operación en Santander.,Mantener informado,6.0,"Opera estación de carga en Bucaramanga como parte de la red de 15 estaciones del Grupo EPM fuera de Antioquia (Armenia, Manizales, Cúcuta, Bucaramanga, San Gil, Ocaña).",5.0,Puede habilitar conexiones y expansión regional en Bucaramanga y corredores del nororiente.,,,,,,,1.0,Sin mención de política de género en su descripción institucional.,latamobility.com/epm-nueva-estacion-carga-electrica-medellin-el-tesoro/
13.0,CHEC,Empresa de energía e infraestructura de carga,Empresa de energía del Grupo EPM con operación en Caldas y Risaralda.,Mantener satisfecho,4.0,"Opera la Ecoestación Acapulco en Manizales, parte del corredor de carga rápida que conecta el Eje Cafetero, dentro de la misma red de 15 estaciones del Grupo EPM.",6.0,Tiene capacidad regional para conectar puntos en ciudades intermedias y corredores del Eje Cafetero.,,,,,,,1.0,Sin mención de política de género en su descripción institucional.,linkedin.com/company/checgrupoepm; elcolombiano.com
14.0,Afinia,Empresa de energía e infraestructura de carga,Operador de distribución eléctrica del Grupo EPM en la región Caribe.,Hacer seguimiento,4.0,"No se identificó un despliegue propio de carga comparable al de EPM, Enel o Celsia.",5.0,Su extensa área de operación la hace relevante para cerrar brechas de infraestructura en ciudades intermedias y zonas turísticas.,,,,,,,1.0,Sin mención de política de género en su descripción institucional.,
15.0,XM,Empresa de energía e infraestructura de carga,Operador del Sistema Interconectado Nacional y administrador del mercado eléctrico colombiano. Coordina la operación del sistema eléctrico y garantiza su confiabilidad. ,Mantener satisfecho,4.0,"La UPME proyecta que los vehículos eléctricos representarán entre 0,09% y 6,41% de la demanda eléctrica nacional hacia 2038, un interés cuantificado y creciente, no solo una tendencia entre otras.",7.0,"UPME proyecta que los vehículos eléctricos aportarán entre 0,09% y 6,41% de la demanda eléctrica nacional para 2038; XM ya opera un sistema con demanda récord de 12.475 MW en 2026.",,,,,,,1.0,Sin mención de política de género en su descripción institucional.,atlas.com.co/panorama-del-consumo-energetico-de-colombia-2024-a-2038/
16.0,Terpel Voltex,Empresa de energía e infraestructura de carga,"Red de carga eléctrica de Terpel para vehículos particulares, flotas y corredores viales.",Manejar de cerca,10.0,"En 2024 reportó 31 puntos de carga y presencia en ciudades, carreteras y el Aeropuerto El Dorado.",7.0,La cobertura nacional de Terpel y su red de estaciones le permiten ubicar cargadores en corredores estratégicos.,4.0,"En 2024 reportó 31 puntos de carga operativos, con presencia en ciudades, carreteras y el Aeropuerto El Dorado. Cifra concreta y verificable de infraestructura ya desplegada, en un activo estratégico de alto tránsito.",6.0,"La red de carga es una extensión natural de su negocio principal de distribución de combustibles, pero su justificación institucional no la presenta como línea estratégica prioritaria de crecimiento, sino como una unidad de servicio dentro de su operación de estaciones.",5.0,"Su presencia en corredores viales y en un aeropuerto de alto tráfico implica coordinación con concesionarios de infraestructura y clientes corporativos, aunque su justificación no detalla vínculos con entidades públicas o reguladoras.",1.0,"No hay ninguna mención de política de género, diversidad o inclusión en su justificación institucional.",https://www.terpel.com/var/site/storage/original/application/262a74f4d9615928e4d45beb44c820a6.pdf
17.0,Enel X Colombia,Empresa de energía e infraestructura de carga,"Unidad especializada en soluciones de carga, electroterminales y servicios energéticos.",Manejar de cerca,10.0,Ha participado en seis patios de recarga destinados a viabilizar más de 870 buses eléctricos en Bogotá.,7.0,"Posee respaldo financiero, experiencia técnica y capacidad para desarrollar infraestructura de alta potencia para transporte público.",5.0,"Ha participado en seis patios de recarga que viabilizan la operación de más de 870 buses eléctricos del sistema SITP en Bogotá. Una cifra concreta, de gran escala, y directamente vinculada a infraestructura de transporte público oficial.",8.0,"Es una unidad especializada cuyo único propósito de negocio es la carga eléctrica, electroterminales y servicios energéticos asociados. La electromovilidad no es una línea adicional de su portafolio, es su razón de ser institucional, lo que la hace altamente urgente para su propia operación.",6.0,Su respaldo financiero y experiencia técnica le permitieron desarrollar infraestructura de alta potencia coordinada directamente con el programa oficial de electrificación del transporte público de Bogotá.,1.0,"No hay ninguna mención de política de género, diversidad o inclusión en su justificación institucional.",https://www.enel.com.co/es/prensa/news/d202101-enel-recibe-adjudicacion-para-entregar-buses-electricos-del-sitp-y-dos-nuevos-patios.html
18.0,Vatia,Empresa de energía e infraestructura de carga,Comercializadora de energía que estructura soluciones para empresas y flotas.,Mantener informado,8.0,"Ha incorporado la movilidad eléctrica dentro de su portafolio, aunque su red pública es menor que la de los líderes.",4.0,"Fue galardonada con el Premio Aurora a la Innovación (REDDI Colombia, nov. 2025) por proyectos que incluyen movilidad eléctrica, aunque su caso más documentado públicamente es de energía solar (700+ paneles con Jardín Plaza), no de infraestructura de carga vehicular específicamente",,,,,,,1.0,Sin mención de política de género en su descripción institucional.,occidente.co/empresario/vatia-energia-innovacion-sostenibilidad-colombia/
19.0,ERCO Energía,Empresa de energía e infraestructura de carga,Empresa colombiana de soluciones energéticas e integración tecnológica.,Mantener informado,7.0,"La infraestructura de carga es coherente con su portafolio de electrificación, aunque su escala pública aún es moderada.",4.0,"Su experiencia en ingeniería, energía distribuida y gestión digital facilita proyectos integrados de carga.",,,,,,,1.0,Sin mención de política de género en su descripción institucional.,https://erco.energy/co/servicios/movilidad-electrica/carga-vehiculos-electricos-para-empresas
20.0,Porsche Colombia – Destination Charging,Empresa de energía e infraestructura de carga,Representante automotor con soluciones de carga residencial y en destinos para clientes de vehículos eléctricos.,Mantener informado,7.0,Tiene interés directo en ampliar cargadores para soportar la adopción de su portafolio eléctrico.,3.0,"Su capacidad se concentra en alianzas y ubicaciones de destino, sin controlar redes ni regulación.",,,,,,,1.0,Sin mención de política de género en su descripción institucional.,https://www.porsche.com/latin-america-es/_colombia_/aboutporsche/e-performance/charging-and-range/charging/charging-service/destination-charging/
21.0,ABB Colombia,Empresa de energía e infraestructura de carga,"Proveedor global de cargadores rápidos, electrónica de potencia y soluciones digitales.",Mantener informado,9.0,"La carga eléctrica es una línea estratégica global de ABB, aunque no se identificó fabricación local de cargadores.",4.0,"Su tecnología puede definir capacidades, confiabilidad y estándares de proyectos de carga rápida y flotas.",,,,,,,4.0,"Multinacional con políticas corporativas globales de diversidad, de carácter general.",https://new.abb.com/ev-charging/es
22.0,Schneider Electric Colombia,Empresa de energía e infraestructura de carga,"Proveedor de cargadores EVlink, gestión energética y soluciones de carga inteligente.",Mantener informado,9.0,"Mantiene una oferta completa en Colombia, desde carga residencial hasta equipos rápidos de 60 a 180 kW.",4.0,"Integra cargadores, tableros, gestión de potencia y software para edificios, flotas y centros de carga rápida.",,,,,,,4.0,"Multinacional reconocida por políticas de diversidad de género, de carácter general.",https://www.se.com/co/es/work/solutions/automotive-and-emobility/emobility/
23.0,Siemens Colombia,Empresa de energía e infraestructura de carga,"Proveedor de infraestructura eléctrica, automatización y soluciones para electromovilidad.",Mantener informado,7.0,"Suministró 119 Sichargers y 381 Dispensers CCS para el Centro Logístico Green Móvil, en alianza con FANALCA y TRANSDEV, permitiendo la carga de más de 400 buses eléctricos que benefician a 300.000+ usuarios de TransMilenio.",5.0,"Puede integrar redes, protección, automatización y carga de alta potencia para flotas e instalaciones complejas.",,,,,,,4.0,"Multinacional reconocida por políticas de diversidad de género, de carácter general.","https://www.itsitio.com/co/soluciones/siemens-colombia-celebra-70-anos-transformando-al-pais/
https://www.dipromin.com/noticias/notiempresas/siemens-presenta-nuevo-centro-logistico-green-movil/"
24.0,CIDET,"Normalización, certificación y acreditación",Centro de desarrollo tecnológico y organismo de certificación del sector eléctrico.,Mantener informado,8.0,"Su acreditación bajo RETIE 2024 hace obligatoria la certificación de cargadores eléctricos, lo que convierte a la movilidad eléctrica en una fuente de negocio creciente y no solo un ítem más de su alcance.",4.0,"Es el primer Organismo Evaluador de Conformidad acreditado bajo RETIE 2024 en Colombia (norma que desde abril de 2024 exige certificación obligatoria para cargadores de vehículos eléctricos e híbridos), con acreditación ONAC bajo ISO/IEC 17025:2017.",,,,,,,1.0,Sin mención de política de género en su descripción institucional.,"cidet.org.co/certifica/reglamentos-y-normas; odircertificaciones.com, ene. 2026"
25.0,Legrand Colombia,Empresa de energía e infraestructura de carga,Proveedor de equipos eléctricos y soluciones de carga para edificios y estacionamientos.,Mantener informado,6.0,"Ofrece tecnología relacionada con carga, aunque su participación pública en grandes corredores es limitada.",4.0,Su red comercial y experiencia en infraestructura de edificios facilitan proyectos residenciales y corporativos.,,,,,,,1.0,Sin mención de política de género en su descripción institucional.,
26.0,Tesla Colombia,"Fabricante de buses, chasis o carrocerías","Fabricante global de vehículos eléctricos, baterías y soluciones de carga con presencia comercial en Colombia.",Mantener informado,10.0,El crecimiento de la infraestructura de carga es fundamental para la adopción de sus vehículos y forma parte central de su modelo de negocio global.,3.0,Su influencia sobre la infraestructura colombiana es limitada porque no opera una red nacional propia de carga ni participa directamente en proyectos de despliegue masivo de estaciones.,,,,,,,1.0,Sin mención de política de género en su descripción institucional.,
27.0,BYD Colombia,"Fabricante de buses, chasis o carrocerías","Fabricante global de vehículos eléctricos, baterías, buses y soluciones energéticas.",Manejar de cerca,10.0,"Cerró contratos por 215 buses eléctricos por cerca de USD 65 millones, a entregar en el primer semestre de 2026, y proyecta superar 100 camiones eléctricos vendidos en 2026 — negocio ya contratado, no proyección.",6.0,"Tiene cerca del 54% del mercado de vehículos 100% eléctricos en Colombia en 2025 (~11.000 de 19.500 unidades) y ensambla localmente en su planta de Cota, Cundinamarca, en alianza con Hino Motors, no es solo un importador, tiene manufactura instalada en el país.",5.0,"En 2025 BYD alcanzó alrededor del 54% del mercado de vehículos 100% eléctricos en Colombia, cerca de 11.000 de las 19.500 unidades vendidas ese año, y no opera solo como importador: ensambla buses, montacargas y camiones eléctricos en su planta de Cota, Cundinamarca, en alianza con la japonesa Hino Motors.",8.0,"Tiene contratos concretos y de corto plazo que dependen directamente de la disponibilidad de infraestructura de carga: cerró negocios por 215 buses eléctricos por cerca de 65 millones de dólares, a ensamblar y facturar en el primer semestre de 2026, y fijó como meta superar las 100 unidades vendidas en camiones eléctricos durante 2026.",6.0," Sus buses eléctricos ya operan en TransMilenio (Bogotá), Metroplús (Medellín) y el MIO (Cali), con expansión prevista hacia Pereira y otras regiones, y trabaja en asocio con empresas nacionales para la fabricación de carrocerías y chasis, esto implica coordinación activa con varios sistemas de transporte público y con la industria local de manufactura.",1.0,"No se encontró ninguna mención de política, programa o compromiso de género en las fuentes consultadas sobre la operación de BYD en Colombia.","las2orillas.co/asi-logro-byd-la-gigante-china-de-carros-electricos-venderle-a-colombia-215-buses-por-mas-de-usd-65-millones/
 https://www.portafolio.co/negocios/vehiculo/sector-de-vehiculos-electricos-en-colombia-espera-cerrar-2026-con-mas-de-40-000-nuevos-gerente-comercial-de-byd-492962
 https://noticias.autocosmos.com.co/2026/02/26/byd-proyecta-para-colombia-un-2026-de-expansion-en-buses-y-camiones-electricos"
28.0,Scania Colombia,"Fabricante de buses, chasis o carrocerías","Fabricante global de camiones, buses y soluciones de transporte pesado con una estrategia creciente de electrificación para flotas urbanas, logísticas e industriales.",Mantener informado,8.0,La expansión de infraestructura de carga es fundamental para el crecimiento de buses y camiones eléctricos dentro de su portafolio. La compañía ha incorporado la electrificación como una línea estratégica de desarrollo para el transporte pesado.,4.0,"Puede influir en los requerimientos técnicos de infraestructura de carga asociados al transporte pesado y participa en proyectos de electrificación de flotas empresariales. Sin embargo, no desarrolla directamente redes de carga ni tiene capacidad significativa para influir en la regulación o expansión nacional de estaciones.",,,,,,,1.0,Sin mención de política de género en su descripción institucional.,
29.0,TransMilenio S.A.,Autoridad de transporte público,Ente gestor del sistema integrado de transporte público de Bogotá.,Manejar de cerca,10.0,Tiene metas cuantificadas de reducción de emisiones (26.000 toneladas de CO₂/año desde finales de 2025) directamente ligadas a la operación de su flota eléctrica.,9.0,"Adjudicó el contrato Fase VI para 269 buses eléctricos articulados y biarticulados, respaldado por un Conpes de cofinanciación Nación-Distrito de $1,5 billones, la primera vez que la Nación cofinancia flota eléctrica de un sistema masivo en Colombia.",8.0,"Es el ente gestor oficial del sistema de transporte público de Bogotá y en 2025-2026 adjudicó el contrato de la Fase VI para 269 buses 100% eléctricos, respaldado por un convenio de cofinanciación de $1,5 billones entre el Gobierno Nacional y el Distrito",10.0,"Tiene metas de reducción de emisiones cuantificadas y con fecha (26.000 toneladas de CO₂ al año desde finales de 2025) directamente ligadas a la operación de su flota eléctrica, lo que demuestra una prioridad institucional activa, no proyectada.",8.0,"Coordina directamente al Gobierno Nacional, el Distrito, operadores privados y proveedores de infraestructura de recarga en un mismo proceso contractual",8.0,"Exige por contrato a los concesionarios aumentar mujeres conductoras y ha incorporado explícitamente enfoques de inclusión y equidad dentro de las políticas de movilidad de Bogotá, según su propia justificación institucional.","https://www.transmilenio.gov.co/publicaciones/152731/100-mil-personas-se-beneficiaran-con-el-centro-logistico-de-green-movil
https://bogota.gov.co/mi-ciudad/movilidad/transmilenio-contrato-concesion-de-provision-de-flota-electrica-bogota
 https://latamobility.com/flota-electrica-de-transmilenio/"
30.0,Secretaría Distrital de Movilidad de Bogotá,Entidad gubernamental de política y planificación,Autoridad encargada de planificar y regular la movilidad de Bogotá.,Manejar de cerca,10.0,"La ciudad solo cuenta con 6 estaciones y 15 cargadores públicos frente a esos más de 120.000 vehículos, y la propia Secretaría confirmó no tener metas cuantitativas de expansión para 2026-2027.",7.0,"Regula la ciudad que concentra la mayor adopción de eléctricos del país (de 23.654 a más de 120.000 vehículos eléctricos e híbridos matriculados entre 2022 y 2026, un crecimiento del 410%), pero reconoció ante el Concejo en julio de 2026 que no tiene inventario actualizado de puntos de carga ni evaluó la capacidad energética local.",5.0,"Tiene la autoridad formal para regular la movilidad de Bogotá y participó en 2023 en la inauguración de la primera red pública de carga rápida de la ciudad, pero en julio de 2026 la propia entidad reconoció ante el Concejo que no tiene un inventario actualizado de puntos de carga ni evaluó la capacidad energética local ",4.0,"Bogotá pasó de 23.654 a más de 120.000 vehículos eléctricos e híbridos matriculados entre 2022 y 2026 (crecimiento del 410%), pero la ciudad solo cuenta con 6 estaciones y 15 cargadores públicos, y la propia Secretaría confirmó que no tiene metas cuantitativas de expansión para 2026 ni 2027.",5.0,"Ya coordinó con Enel Colombia y La Rolita para desplegar la primera red de carga rápida pública de la ciudad en 2023, y ha sido señalada por el Concejo para coordinar con UPME, Ministerio de Minas y Energía y Enel en una evaluación conjunta de capacidad energética.",7.0,"Tiene su propio programa donde han recategorizado 924 mujeres, donde el 57% de su planta son mujeres",infobae.com/colombia/2026/07/12/bogota-promueve-autos-electricos-pero-solo-hay-15-cargadores-para-mas-de-120000-vehiculos-enchufables-denuncian-falta-de-infraestructura/
