#,Actor,Categoria,Justificacion_Inclusion,Mendelow,Interes,Justificacion_Interes,Poder,Justificacion_Poder,Legitimidad,Justificacion_Legitimidad,Urgencia,Justificacion_Urgencia,Capacidad_Articulacion,Justificacion_Articulacion,Genero,Justificacion_Genero,Observaciones
11.0,Olinia,"Fabricante de buses, chasis o carrocerías","Marca/armadora nacional de vehículos eléctricos urbanos impulsada directamente por el gobierno federal (anunciada por la presidenta Claudia Sheinbaum), con planta en el Instituto Tecnológico de Puebla, respaldo del IPN y el Tecnológico Nacional de México, e inversión inicial de 25 millones de pesos.",Manejar de cerca,9.0,"Busca ser la primera armadora mexicana de vehículos eléctricos urbanos (tres modelos: personal, movilidad de barrio y última milla), con primeras unidades esperadas a mediados de 2026 desde 150 mil pesos.
El mercado electrificado mexicano alcanzó 9,6% de participación del mercado total de vehículos ligeros al cierre de 2025 (100.000+ unidades, +18% interanual), y México produjo domésticamente más de 200.000 vehículos híbridos/eléctricos en 2025 (+20,5% vs. 2024), consolidándose como el 2° mayor productor de electrificados de Norteamérica, este es el contexto macro dentro del cual Taruk y Olinia buscan insertarse como capacidad 100% nacional.",8.0,"Es un proyecto de Estado con respaldo presidencial directo, lo que le da capacidad de movilizar recursos públicos e instituciones académicas (IPN, TecNM) a su favor.",6.0,"Proyecto comercial pero con aval estatal directo (respaldo presidencial, infraestructura del IPN y TecNM) — el único privado del listado con ese tipo de respaldo.",8.0,"Primeras unidades esperadas a mediados de 2026, con inversión inicial ya comprometida (25 millones de pesos)",8.0,"Moviliza directamente a instituciones académicas públicas (IPN, TecNM) bajo un mismo proyecto, algo que ningún actor privado del listado puede replicar.",5.0,"Al tratarse de una iniciativa estratégica asociada al desarrollo tecnológico e industrial nacional, tiene potencial para promover la participación de mujeres en sectores STEM e industria avanzada, aunque todavía no cuenta con una trayectoria consolidada en políticas de género.","https://www.merca20.com/la-dupla-taruk-y-olinia-impulsan-el-futuro-electrico-de-lo-hecho-en-mexico/
https://latinus.us/economia/2025/3/25/gobierno-certifica-taruk-el-primer-autobus-electrico-100-disenado-fabricado-en-mexico-138184.html
https://www.todosobreautos.com/ventas-hibridos-electricos-mexico-2025/"
12.0,Volvo Group México / Volvo Buses México,"Fabricante de buses, chasis o carrocerías","Filial mexicana del grupo sueco Volvo; fabrica localmente el Volvo 7800 Electric (primer autobús articulado y biarticulado eléctrico fabricado en México) y construye una planta de US$700 millones en Monterrey, Nuevo León (30,000 camiones/año) para Volvo Trucks y Mack Trucks.",Manejar de cerca,6.0," Su participación de mercado en tractocamiones es de apenas 0,02% (primer semestre 2025), muy por debajo de PACCAR (46-62,8%) y Daimler/Freightliner. Su relevancia real está en: su base instalada histórica de 12.000+ camiones convencionales, su papel como pionero de manufactura de buses eléctricos localmente (Volvo 7800 Electric), y su inversión de US$1.000 millones en la planta de Monterrey (ampliada desde US$700M en enero 2025), pero esta última está orientada principalmente a exportación a EE.UU./Canadá, no al mercado mexicano.",6.0,"Tiene la escala industrial y financiera (multinacional líder global en camiones eléctricos, con 42% de cuota de mercado europeo en el segmento pesado) para influir en la cadena de suministro y en el desarrollo del ecosistema de proveeduría nacional.",3.0,"Reconocimiento de marca global, no autoridad normativa; su legitimidad de mercado es además débil en México (0,02% en tractocamiones).",5.0,Su regreso reciente al mercado (2025) aún no genera presión estructural comparable a los líderes reales del sector.,6.0,Red de 7 grupos de distribuidores privados y presencia institucional activa en Expo Transporte ANPACT.,4.0,"Meta corporativa global de 35% de mujeres en liderazgo para 2030, pero sin evidencia de un programa específico aplicado en México. ","https://www.elfinanciero.com.mx/empresas/2025/04/09/volvo-producira-hasta-30000-camiones-con-nueva-planta-en-nuevo-leon/
https://amp.milenio.com/negocios/volvo-apuesta-mexico-liderar-expansion-norteamerica
https://www.volvobuses.com/mx/
https://www.tyt.com.mx/nota/asi-evoluciona-el-mercado-de-tractocamiones-en-el-primer-semestre-de-2025 "
13.0,PACCAR México (Kenworth / DAF),"Fabricante de buses, chasis o carrocerías","Fabricante y comercializador estadounidense de camiones pesados, con presencia en México a través de sus marcas Kenworth y DAF, y planta de ensamblaje en Mexicali.",Manejar de cerca,9.0,"Es el líder absoluto e indiscutido del mercado de tractocamiones en México, con 46% de participación al menudeo y hasta 62,8% al mayoreo en el primer semestre de 2025. Es decir, 6 de cada 10 tractocamiones vendidos en México son de esta marca. ",8.0,Su escala de producción local (planta en Mexicali) y su dominio absoluto del mercado le dan una posición estructural determinante sobre cualquier estrategia de transición hacia camiones eléctricos en México,3.0,"Líder absoluto de mercado (46-62,8%), pero eso es posición comercial, no autoridad normativa.",6.0,Su dominio de mercado lo convierte en el actor cuya decisión de electrificar (o no) su línea de producción definirá el ritmo real de transición del transporte de carga pesada en México.,6.0,"Planta de ensamblaje propia en Mexicali con cadena de proveeduría establecida, aunque sin evidencia de participación activa en coaliciones multisectoriales de electromovilidad.",5.0,"La empresa ha desarrollado iniciativas corporativas relacionadas con diversidad, inclusión y desarrollo profesional de mujeres dentro de la industria automotriz, aunque estas no constituyen el foco principal de su estrategia empresarial.",https://www.tyt.com.mx/nota/asi-evoluciona-el-mercado-de-tractocamiones-en-el-primer-semestre-de-2025
14.0,Daimler Truck México (Freightliner),"Fabricante de buses, chasis o carrocerías","Filial mexicana del fabricante alemán Daimler Truck, comercializando camiones pesados bajo la marca Freightliner.",Manejar de cerca,7.0,"Es el segundo jugador más relevante del mercado de tractocamiones en México, con 2.665 unidades vendidas al mayoreo en el primer semestre de 2025, muy por detrás de PACCAR, pero consolidado como el principal competidor. En el segmento más amplio de camiones clase 4-8 (no solo tractocamiones), Freightliner incluso lidera con 24,4% de participación (3.910 unidades).",6.0,"Como segundo mayor jugador del mercado y con presencia consolidada en múltiples segmentos (tractocamiones y camiones medianos), tiene capacidad real de acelerar o frenar la transición eléctrica del transporte de carga mexicano",3.0,"Segundo mayor actor de mercado, pero posición comercial, no normativa.",6.0,Su participación creciente lo posiciona como interlocutor necesario en cualquier transición del segmento de carga.,5.0,Trabaja junto con ADAVEC (asociación de distribuidores) en programas conjuntos.,7.0,"Daimler Truck México, junto con ADAVEC, ya graduó su primera generación del programa ""Mujeres al Volante"" (8 mujeres capacitadas para el sector de autotransporte de carga"," https://www.tyt.com.mx/nota/asi-evoluciona-el-mercado-de-tractocamiones-en-el-primer-semestre-de-2025 
https://www.safelinktracking.com.mx/las-marcas-de-camiones-mas-vendidas/"
15.0,LitioMex,Entidad gubernamental de política y planificación,"Empresa pública mexicana encargada de la extracción y recuperación de litio nacional, con un yacimiento identificado en arcillas en Sonora.",Mantener informado,7.0,"Es la pieza clave para que Olinia y Taruk dejen de depender de baterías importadas de China (actualmente el principal cuello de botella reconocido por Megaflux), por lo que su desarrollo es determinante para la soberanía real de la cadena de valor.",3.0,"Es una empresa estatal en etapa piloto (planta piloto de recuperación), sin producción comercial aún, por lo que su capacidad de influencia actual es limitada frente a su relevancia potencial futura.",,,,,,,4.0,Su foco principal está orientado al desarrollo de capacidades estratégicas para la cadena de valor del litio y la soberanía energética. No se identifican programas relevantes de género asociados directamente a su operación.,https://www.sinembargo.mx/4558611/el-auto-olinia-no-iniciara-de-cero-conhacyt-ya-trabaja-en-autobus-y-mototaxis/
16.0,CAPUFE,Entidad gubernamental de política y planificación,"Organismo público descentralizado del Gobierno de México encargado de construir, operar, conservar y administrar autopistas y puentes de cuota federales; administra aproximadamente 35% de las autopistas del país.",Hacer seguimiento,2.0,No hay evidencia de que CAPUFE haya instalado electrolineras en su red.,5.0,"A diferencia de una concesionaria privada como RCO, CAPUFE administra directamente una porción significativa de la red carretera federal y depende de decisiones de política pública (SICT/SHCP) más que de estrategia comercial propia",,,,,,,4.0,"La entidad cuenta con acciones institucionales alineadas con las políticas federales de igualdad y no discriminación, aunque estas no constituyen un elemento prioritario dentro de su misión principal.","https://www.contrareplica.mx/nota-Piden-a-la-SICT-instalar-mas-electrolineras-en-carreteras-del-pais-2021241151 (verificado, iniciativa legislativa)
https://www.proyectosmexico.gob.mx/como-invertir-en-infraestructura-en-mexico/ciclo-inversion/ciclos-carreteras/ 
"
17.0,"Red de Carreteras de Occidente (RCO), an Abertis company",Empresa de energía e infraestructura de carga,"Concesionaria de autopistas de cuota (filial del grupo español Abertis), que opera más de 873 km de carreteras en el Bajío y Occidente de México (marca comercial ""Red Vía Corta""), conectando Jalisco, Michoacán, Guanajuato y Nayarit, incluida la vía corta entre Guadalajara y Ciudad de México.",Mantener informado,7.0,"Instaló electrolineras multimarca directamente en las áreas de descanso de dos de sus autopistas principales (Maravatío-Zapotlanejo y Zapotlanejo-Lagos de Moreno, en los puntos Panindícuaro y Jalostotitlán), como parte explícita de su Estrategia de Sostenibilidad 2022-2030 enfocada en descarbonización.",3.0,Su influencia se limita a la infraestructura física que controla dentro de su propia concesión (873 km); no tiene facultad regulatoria ni capacidad de imponer electrolineras en otras autopistas del país,,,,,,,7.0,"Abertis ha impulsado iniciativas corporativas de diversidad, equidad e inclusión que incluyen objetivos relacionados con la participación femenina y el liderazgo de mujeres en infraestructura.","https://www.redviacorta.mx/es/electrolineras
https://redviacorta.mx/es/w/nuevas-estaciones-de-carga-para-vehiculos-electricos"
18.0,Fazt,Empresa de energía e infraestructura de carga,Empresa mexicana (creada en 2023) especializada en tecnología de carga ultrarrápida.,Mantener informado,7.0,Concentra 13% de los cargadores utilizados en México (frente a 10% el año previo) y es el proveedor tecnológico elegido por Soriana para su red de 1.000 estaciones.,4.0,"Es un proveedor tecnológico con creciente cuota de mercado, pero de menor escala financiera y sin poder normativo frente a los grandes CPO o al regulador.",,,,,,,4.0,"La organización orienta sus esfuerzos principalmente al despliegue de infraestructura de recarga y servicios tecnológicos, sin evidencia significativa de programas específicos de género con alcance sectorial.",https://www.ecoportal.net/motor/mexico-estaciones-de-carga-rapida-soriana/
19.0,Organización Soriana,Usuarios de flota y demanda de mercado,Cadena minorista mexicana que instala infraestructura de carga en sus tiendas.,Mantener informado,8.0,"Lidera un acuerdo para instalar más de 1.000 estaciones de carga en sus tiendas para 2030, con expansión inicial en Edomex, CDMX, Jalisco y Nuevo León.",5.0,"Su poder es el de un actor comercial con amplia red de puntos físicos (bienes raíz), pero sin ninguna atribución sobre la regulación del sector eléctrico.",,,,,,,7.0,"La empresa ha desarrollado programas de diversidad laboral, igualdad de oportunidades y promoción del talento femenino dentro de su estructura corporativa.",https://www.ecoportal.net/motor/mexico-estaciones-de-carga-rapida-soriana/
20.0,Invisible Urban Charging Inc. / ATX Smart Mobility,Empresa de energía e infraestructura de carga,Consorcio de empresas estadounidenses inversionistas en cargadores y autobuses eléctricos.,Mantener informado,7.0,"Lidera una inversión de US$500 millones para desplegar cargadores y autobuses eléctricos en la región del Bajío, enfocada primero en flotas comerciales.",5.0,"Su influencia radica en el volumen de capital extranjero que puede movilizar hacia el sector, sin capacidad de incidir en el marco regulatorio.",,,,,,,4.0,"Su enfoque principal se concentra en innovación e infraestructura tecnológica, sin que las políticas de género constituyan un eje visible dentro de su posicionamiento institucional.",https://www.bloomberglinea.com/latinoamerica/mexico/firmas-de-eeuu-invertiran-us500-millones-en-cargadores-y-buses-electricos-en-mexico/
21.0,Nacional Financiera (NAFIN),Banca de desarrollo y financiamiento,Banca de desarrollo federal mexicana.,Mantener informado,6.0,"Sella alianzas con KfW para financiar sustitución de flotas, participa en la Iniciativa Laneshift con la CDMX y C40",4.0,Como banca de desarrollo controla el acceso a financiamiento estratégico (junto con BANOBRAS y banca comercial) señalado explícitamente como uno de los recursos ya disponibles para el sector.,,,,,,,8.0,"Como banca de desarrollo, ha participado en programas de inclusión financiera y fortalecimiento empresarial con enfoque de igualdad de oportunidades para distintos grupos poblacionales.","https://www.elfinanciero.com.mx/transporte-y-movilidad/2025/10/01/electromovilidad-en-mexico-avances-retos-y-financiamiento/ 
https://latamobility.com/bid-kfw-nafin-santander-y-zeroca-protagonizan-el-financiamiento-para-inversiones-sostenibles-en-transporte-limpio
"
