#,Actor,Alcance,Categoria,Justificacion_Inclusion,Mendelow,Interes,Justificacion_Interes,Poder,Justificacion_Poder,Legitimidad,Justificacion_Legitimidad,Urgencia,Justificacion_Urgencia,Capacidad_Articulacion,Justificacion_Articulacion,Genero,Justificacion_Genero
11.0,Secretaría de Medio Ambiente y Recursos Naturales (SEMARNAT),México, Entidad gubernamental reguladora,"Entidad responsable de la formulación e implementación de las políticas ambientales y de cambio climático en México. Su participación es relevante debido a que el retrofit vehicular puede contribuir a la reducción de emisiones contaminantes, la mejora de la calidad del aire y el cumplimiento de los compromisos nacionales de descarbonización y sostenibilidad del sector transporte.",Mantener satisfecho,6.0,"El retrofit puede aportar al cumplimiento de objetivos ambientales, pero constituye únicamente una de varias medidas disponibles para reducir emisiones del sector transporte.",7.0,"Tiene capacidad para influir en estándares ambientales, políticas de calidad del aire y metas de reducción de emisiones que pueden favorecer la adopción de tecnologías retrofit, aunque no controla la regulación del transporte.",,,,,,,8.0,"Puede incorporar enfoques de género dentro de políticas de sostenibilidad, calidad del aire, justicia ambiental y transición ecológica. Su capacidad para transversalizar estos temas en programas ambientales le otorga una relevancia significativa para promover inclusión en sectores tradicionalmente masculinizados."
12.0,Comisión Reguladora de Energía (CRE),México, Entidad gubernamental reguladora,"Entidad responsable de regular los mercados energéticos y promover condiciones que faciliten una transición energética eficiente en México. Su participación es relevante para evaluar requerimientos regulatorios asociados a la electrificación de flotas, infraestructura de carga y nuevos esquemas energéticos necesarios para la implementación de programas de retrofit vehicular.",Hacer seguimiento,4.0,"Su interés es indirecto y está relacionado principalmente con los efectos de la electrificación sobre el sistema energético y la infraestructura de carga, más que con el retrofit en sí mismo.",6.0,"Puede influir sobre aspectos regulatorios asociados a electrificación, infraestructura de carga y suministro energético, pero su capacidad de incidencia sobre el retrofit es principalmente indirecta.",,,,,,,4.0,"Aunque puede promover indirectamente condiciones regulatorias favorables para la participación de mujeres en el sector energético, su mandato es principalmente técnico y regulatorio, con poca incidencia directa en políticas de género."
13.0,Comisión Federal de Electricidad (CFE),México, Entidad gubernamental reguladora,"Empresa estatal responsable de la generación, transmisión y distribución de energía eléctrica en México. Su participación es fundamental para garantizar la disponibilidad de infraestructura eléctrica, evaluar impactos sobre la demanda energética y apoyar la expansión de la infraestructura de carga requerida por flotas reconvertidas a tecnologías eléctricas.",Mantener satisfecho,6.0,"La electrificación de flotas puede generar demanda adicional de energía e infraestructura eléctrica, aunque el retrofit constituye solo una pequeña parte de las transformaciones que afectan al sector energético.",7.0,Controla una parte fundamental de la infraestructura eléctrica mexicana y puede facilitar o limitar el despliegue de soluciones energéticas necesarias para apoyar la electrificación de flotas.,,,,,,,8.0,"Como una de las mayores empresas públicas de América Latina, puede impulsar programas de diversidad, empleo femenino, formación técnica y participación de mujeres en cadenas de valor energéticas, generando impactos significativos a nivel nacional."
14.0,Ministerio de Transportes y Telecomunicaciones (MTT),Chile, Entidad gubernamental reguladora,"Entidad responsable de la formulación y regulación de las políticas de transporte en Chile. Su participación es clave para establecer marcos regulatorios, procesos de homologación y estrategias de modernización de flotas que permitan incorporar soluciones de retrofit dentro de los sistemas de transporte público del país.",Manejar de cerca,10.0,"Es la principal entidad reguladora del transporte en Chile y cualquier iniciativa de retrofit requerirá su participación para aprobar, regular o supervisar su implementación.",10.0,"Es la máxima autoridad reguladora del transporte en Chile y tiene la capacidad de habilitar, restringir o definir los requisitos bajo los cuales podría desarrollarse el retrofit vehicular.",10.0,"Principal autoridad del transporte en Chile, con legitimidad normativa y técnica reconocida por todo el sector.",10.0,Chile continúa liderando la electromovilidad regional mediante acciones permanentes asociadas a transporte público eléctrico y despliegue de la Hoja de Ruta de Electromovilidad. ,7.0,"Ha participado activamente en la coordinación de actores públicos y privados asociados al ecosistema chileno de transporte y electromovilidad, aunque dentro de un marco principalmente sectorial.",8.0,Ha participado en procesos de transformación del transporte donde la inclusión y la accesibilidad son elementos cada vez más relevantes. Posee capacidad para incorporar lineamientos de género en programas de transporte público y movilidad sostenible.
15.0,Ministerio de Energía (Chile),Chile, Entidad gubernamental reguladora,"Entidad responsable de liderar la política energética de Chile y promover la transición hacia tecnologías limpias. Su participación es importante para impulsar la electrificación del transporte, coordinar acciones con otros organismos públicos y desarrollar instrumentos que faciliten la adopción de tecnologías retrofit en flotas urbanas.",Manejar de cerca,8.0,La electrificación del transporte es una prioridad nacional y el retrofit puede constituir una herramienta complementaria para acelerar dicho proceso en determinados segmentos de flota.,8.0,"Puede promover instrumentos, incentivos y programas asociados a la electrificación del transporte que faciliten la adopción de iniciativas de retrofit.",10.0,Entidad rectora de la política energética chilena y autoridad formal en procesos de transición energética.,10.0,"Lidera el Acuerdo Público-Privado por la Electromovilidad 2025, que involucra compromisos activos de más de 170 organizaciones y establece acciones concretas en infraestructura, transporte y regulación. ",10.0,"Lidera el Acuerdo Público-Privado por la Electromovilidad de Chile, articulando empresas, operadores, organismos públicos, academia y entidades internacionales en torno a objetivos compartidos de electromovilidad.",9.0,Chile ha sido uno de los países más activos en integrar enfoques de transición energética justa y participación femenina en energía. La entidad posee una trayectoria destacada en promoción de género dentro del sector energético.
16.0,Ministerio del Medio Ambiente,Chile, Entidad gubernamental reguladora,"Entidad responsable de la protección ambiental y la implementación de las políticas climáticas en Chile. Su participación es relevante debido al potencial del retrofit para reducir emisiones del transporte, mejorar la calidad del aire en zonas urbanas y contribuir al cumplimiento de los compromisos nacionales de mitigación del cambio climático.",Mantener satisfecho,6.0,"Reconoce los beneficios en reducción de emisiones y calidad del aire, pero el retrofit representa únicamente una de las múltiples herramientas disponibles para alcanzar las metas ambientales nacionales.",7.0,Tiene capacidad para impulsar políticas de reducción de emisiones y calidad del aire que favorezcan la adopción de tecnologías de bajas emisiones como el retrofit.,,,,,,,7.0,"Puede incorporar enfoques de equidad y justicia climática en programas ambientales y de descarbonización, contribuyendo a que los beneficios de la transición tecnológica alcancen a poblaciones tradicionalmente excluidas."
17.0,Ministerio de Transportes y Comunicaciones (MTC),Perú, Entidad gubernamental reguladora,"Entidad responsable de regular y supervisar el sistema de transporte en Perú. Su participación es fundamental para definir requisitos técnicos, procedimientos de homologación y mecanismos regulatorios que permitan la implementación segura y eficiente de programas de retrofit vehicular en el país.",Manejar de cerca,10.0,Es la autoridad nacional responsable del transporte en Perú y tendría capacidad directa para habilitar o restringir la implementación de programas de retrofit vehicular.,10.0,Es la autoridad nacional del transporte en Perú y posee facultades regulatorias determinantes para habilitar o restringir programas de retrofit vehicular.,10.0,Autoridad nacional de transporte en Perú con capacidad formal para orientar y regular el sector.,7.0,"Existe participación institucional en la agenda de movilidad sostenible, aunque con menor intensidad y visibilidad reciente que los liderazgos observados en Colombia o Chile. ",6.0,"Posee capacidad para coordinar actores del sector transporte peruano, aunque su rol principal sigue siendo regulatorio y rector.",7.0,"Tiene capacidad para incorporar criterios de inclusión y accesibilidad en el diseño de políticas de transporte, aunque históricamente el tema de género no ha sido uno de sus principales ejes estratégicos."
18.0,Ministerio de Energía y Minas (MINEM),Perú, Entidad gubernamental reguladora,"Entidad responsable de formular la política energética y minera de Perú. Su participación es clave para promover la electrificación del transporte, evaluar impactos energéticos asociados al retrofit y desarrollar mecanismos de apoyo que incentiven la adopción de tecnologías de bajas emisiones en flotas vehiculares.",Manejar de cerca,8.0,"El retrofit puede contribuir a sus objetivos de transición energética y electrificación del transporte, aunque comparte espacio con otras prioridades energéticas nacionales.",8.0,"Puede impulsar estrategias de electrificación, transición energética y programas de apoyo que favorezcan el desarrollo del mercado retrofit en Perú.",10.0,Institución responsable de la política energética peruana y ampliamente reconocida para liderar iniciativas de electrificación.,7.0,"Participa en la agenda de transición energética y electrificación, pero no se observan iniciativas recientes de electromovilidad con el mismo nivel de intensidad que otros países analizados. ",6.0,"Puede impulsar espacios de coordinación asociados a transición energética, pero su capacidad de articulación multisectorial es menor que la de actores especializados en concertación.",8.0,La transición energética abre oportunidades para promover empleo femenino y fortalecer la participación de mujeres en actividades técnicas e industriales vinculadas a la energía y la electromovilidad.
19.0,Autoridad de Transporte Urbano de Lima y Callao (ATU),Perú, Autoridad de transporte público,"Entidad responsable de planificar, gestionar y supervisar el transporte urbano de Lima y Callao. Su participación es estratégica debido a que concentra una parte importante de la demanda de transporte público del país y puede liderar pilotos, programas de modernización de flotas y estrategias de adopción de tecnologías retrofit en buses urbanos.",Manejar de cerca,10.0,"Como principal gestor del transporte urbano del país, tiene interés directo en soluciones que permitan modernizar flotas, reducir emisiones y mejorar la sostenibilidad operacional.",8.0,"Tiene influencia directa sobre el principal sistema de transporte urbano del país y capacidad para promover pilotos, especificaciones técnicas y procesos de modernización de flota.",9.0,Autoridad formal sobre el principal sistema de transporte urbano del Perú y referente institucional para la toma de decisiones de movilidad.,8.0,La modernización del transporte público de Lima continúa considerando tecnologías de bajas emisiones y electrificación como parte de la transformación del sistema urbano.,8.0,"Tiene capacidad para reunir operadores, autoridades locales, entidades nacionales y proveedores tecnológicos alrededor de iniciativas de transformación del transporte urbano.",8.0,"Como autoridad responsable del principal sistema de transporte urbano del Perú, puede incorporar medidas de seguridad, accesibilidad, inclusión laboral y participación femenina en operadores y sistemas de movilidad."
20.0,TransMilenio S.A.,Colombia, Autoridad de transporte público,"Entidad responsable de la gestión y planificación del sistema BRT y del componente troncal del transporte público de Bogotá. Su participación es fundamental debido a su capacidad para impulsar proyectos piloto, evaluar modelos operativos y generar demanda para soluciones retrofit en una de las flotas de transporte público más grandes e influyentes de América Latina.",Manejar de cerca,10.0,"Es uno de los mayores potenciales usuarios de tecnologías retrofit en América Latina. Una solución viable podría generar beneficios directos en costos, sostenibilidad y aprovechamiento de activos existentes.",8.0,"Es uno de los mayores compradores y gestores de flota de América Latina. Sus decisiones pueden generar señales de mercado significativas para operadores, proveedores y entidades públicas.",8.0,"Principal gestor del sistema BRT de Colombia y referente regional en transporte masivo, cuyas posiciones suelen ser consideradas por otros actores del sector.",10.0,"Durante 2025 impulsó nuevas adquisiciones de buses eléctricos, estructuración de licitaciones para 269 buses cero emisiones y acuerdos de cofinanciación nacional para expansión de flota eléctrica. ",8.0,"Actúa como punto de encuentro entre operadores, fabricantes, entidades financieras, organismos multilaterales y autoridades públicas, facilitando la implementación de iniciativas complejas de movilidad sostenible.",8.0,"Ha desarrollado iniciativas relacionadas con equidad de género, vinculación laboral de mujeres y mejora de condiciones de acceso al transporte. Su escala y visibilidad lo convierten en un actor relevante para impulsar cambios inclusivos en el sector movilidad."
21.0,Secretaría Distrital de Movilidad de Bogotá,Colombia, Autoridad de transporte público,"Entidad responsable de formular y gestionar las políticas de movilidad, seguridad vial y planificación del transporte en Bogotá. Su participación es fundamental debido a su capacidad para promover estrategias de modernización de flotas, evaluar la incorporación de tecnologías retrofit y coordinar acciones con operadores, autoridades nacionales y actores del sector energético.",Manejar de cerca,10.0,"Es una autoridad decisora sobre la política de movilidad urbana de una de las ciudades con mayor potencial para implementar retrofit de buses. Puede promover pilotos, incentivos y modificaciones regulatorias que afecten directamente la adopción de estas tecnologías.",8.0,"Tiene capacidad para definir políticas de movilidad urbana, impulsar pilotos y establecer lineamientos operativos que pueden acelerar o dificultar la adopción del retrofit en la ciudad más importante del país.",9.0,"Autoridad de movilidad de la ciudad más importante de Colombia, ampliamente reconocida por actores públicos y privados del sector.",10.0,"Bogotá mantiene una de las agendas más activas de electromovilidad de América Latina, liderando procesos de ampliación de flotas eléctricas y transformación tecnológica del transporte urbano. ",8.0,"Tiene experiencia articulando entidades distritales, operadores, banca multilateral, empresas privadas y organismos de cooperación para desarrollar proyectos de movilidad sostenible.",8.0,"La entidad ha promovido iniciativas de movilidad con enfoque diferencial, seguridad para mujeres y accesibilidad universal. Además, puede incorporar requisitos de inclusión en la estructuración y supervisión de sistemas de transporte urbano."
22.0,Metro de Medellín,Colombia, Operador de transporte público,"Empresa responsable de la operación y gestión de sistemas de transporte masivo y movilidad sostenible en el Valle de Aburrá. Su experiencia en innovación tecnológica, electrificación y gestión de activos de transporte la convierte en un actor relevante para evaluar oportunidades de implementación de soluciones retrofit en flotas urbanas.",Hacer seguimiento,6.0,"Aunque es un referente de movilidad sostenible, su operación principal se basa en sistemas férreos y eléctricos ya consolidados, por lo que el retrofit de buses no constituye una prioridad estratégica central.",6.0,"Posee capacidad de influencia a nivel regional y experiencia en movilidad sostenible, aunque no cuenta con facultades regulatorias amplias sobre el sector transporte nacional.",,,,,,,7.0,"Ha desarrollado programas de inclusión, accesibilidad y cultura ciudadana que pueden servir de base para integrar criterios de género en procesos de modernización tecnológica y movilidad sostenible."
23.0,Área Metropolitana del Valle de Aburrá,Colombia, Autoridad de transporte público,"Autoridad ambiental y de movilidad responsable de coordinar la gestión metropolitana del transporte en el Valle de Aburrá. Su participación es importante para articular políticas de calidad del aire, movilidad sostenible y transición energética, facilitando la adopción de tecnologías retrofit en la región.",Mantener satisfecho,7.0,"Tiene interés en herramientas que contribuyan a mejorar la calidad del aire y reducir emisiones del transporte, aunque el retrofit es solamente una de varias alternativas disponibles.",7.0,"Puede coordinar políticas metropolitanas de movilidad y calidad del aire, influyendo en la adopción de tecnologías de bajas emisiones dentro de su territorio.",,,,,,,7.0,"Tiene capacidad para incorporar enfoques de equidad, accesibilidad e inclusión dentro de políticas metropolitanas de movilidad, calidad del aire y desarrollo sostenible."
24.0,Metrocali,Colombia, Operador de transporte público,"Entidad responsable de la gestión y supervisión del Sistema Integrado de Transporte Masivo de Cali. Su participación es relevante por su capacidad para impulsar proyectos de modernización de flotas, promover tecnologías de bajas emisiones y evaluar alternativas de reconversión tecnológica en buses urbanos.",Mantener satisfecho,10.0,"Como gestor del sistema MIO, puede beneficiarse directamente de soluciones que permitan modernizar flotas existentes y reducir emisiones sin depender exclusivamente de la compra de vehículos nuevos.",7.0,"Como gestor del sistema de transporte masivo de Cali puede impulsar procesos de modernización tecnológica y adopción de pilotos, aunque su alcance es principalmente local.",,,,,,,6.0,"Puede promover participación femenina y medidas de inclusión dentro del sistema de transporte masivo de Cali, aunque su capacidad institucional es más limitada que la de otros gestores de transporte de gran escala."
25.0,Metrobús Ciudad de México,México, Autoridad de transporte público,Entidad responsable de la planeación y administración del sistema BRT de Ciudad de México. Su experiencia en operación de corredores de alta capacidad y en procesos de transición tecnológica la convierte en un actor estratégico para evaluar proyectos de retrofit orientados a la reducción de emisiones y mejora del desempeño operativo de las flotas.,Manejar de cerca,10.0,"Es un usuario potencial directo de soluciones retrofit y podría obtener beneficios operativos, ambientales y financieros derivados de la reconversión de parte de su flota.",8.0,"Sus decisiones de compra, renovación y modernización de flota pueden influir significativamente en el mercado de tecnologías para transporte público en México.",8.0,Sistema de transporte masivo reconocido nacional e internacionalmente por su experiencia operativa y capacidad de innovación.,8.0,Mantiene una posición activa dentro de los procesos de modernización y descarbonización del transporte público de la capital mexicana.,7.0,"Posee capacidad para coordinar operadores, proveedores de tecnología y entidades gubernamentales alrededor de proyectos específicos de modernización del transporte público.",8.0,"Ha participado en iniciativas vinculadas a movilidad inclusiva, accesibilidad y mejora de condiciones de viaje para poblaciones vulnerables, constituyéndose en una referencia relevante en movilidad urbana."
26.0,RTP Ciudad de México,México, Operador de transporte público,"Organismo operador de transporte público de Ciudad de México que administra una de las flotas de autobuses más grandes del país. Su participación es relevante debido a su capacidad para implementar pilotos, evaluar tecnologías emergentes y generar demanda para soluciones de retrofit en servicios urbanos.",Mantener satisfecho,6.0,Opera una de las mayores flotas públicas de autobuses del país y tiene interés directo en tecnologías que faciliten la transición hacia vehículos de bajas emisiones con menores costos de inversión.,8.0,Opera una de las mayores flotas públicas del país y tiene capacidad para generar demanda relevante de soluciones retrofit mediante procesos de modernización tecnológica.,,,,,,,7.0,"Como operador público de transporte puede facilitar programas de inclusión laboral, capacitación y participación femenina dentro de la operación de flotas y servicios de transporte."
27.0,Secretaría de Movilidad de Ciudad de México,México, Autoridad de transporte público,"Entidad responsable de diseñar y coordinar las políticas de movilidad de Ciudad de México. Su participación es fundamental para definir lineamientos regulatorios, estrategias de descarbonización del transporte y mecanismos de implementación que permitan la incorporación del retrofit dentro de las políticas urbanas de movilidad sostenible.",Manejar de cerca,10.0,"Es una autoridad con capacidad de impulsar políticas, lineamientos y programas de modernización de flotas urbanas, incluyendo esquemas de retrofit.",8.0,Posee capacidad para orientar la política de movilidad de una de las ciudades más grandes de América Latina e impulsar esquemas regulatorios favorables al retrofit.,9.0,"Entidad responsable de la política de movilidad de una de las mayores ciudades de América Latina, con elevada legitimidad institucional.",8.0,La reducción de emisiones y transformación tecnológica del transporte público siguen formando parte de la agenda estratégica de movilidad de la ciudad.,8.0,"Cuenta con una elevada capacidad para convocar entidades públicas, operadores, financiadores y sector privado alrededor de la agenda de movilidad de la ciudad.",9.0,"La inclusión, accesibilidad y perspectiva de género forman parte cada vez más visible de las políticas de movilidad urbana de la ciudad, otorgándole una elevada capacidad para impulsar transformaciones sectoriales."
