#,Actor,Categoria,Justificacion_Inclusion,Mendelow,Interes,Justificacion_Interes,Poder,Justificacion_Poder,Legitimidad,Justificacion_Legitimidad,Urgencia,Justificacion_Urgencia,Capacidad_Articulacion,Justificacion_Articulacion,Genero,Justificacion_Genero,Observaciones
11.0,Ministerio de Economía y Finanzas (MEF),Entidad gubernamental de política y planificación,Ministerio responsable de la política fiscal y del endeudamiento público del Perú.,Manejar de cerca,6.0,"Emitió el DS 156-2023-EF que aprueba la depreciación acelerada de vehículos eléctricos, y es la entidad que debe autorizar y gestionar el préstamo de US$200 millones del Banco Mundial para el Metropolitano.",8.0,"Sin su aprobación, ningún financiamiento multilateral de gran escala para electrificación de flotas puede concretarse.",10.0,Máxima autoridad fiscal del país; ningún incentivo tributario o préstamo multilateral para electromovilidad puede avanzar sin su aprobación.,8.0,"MEF es el cuello de botella real de casi todo el sector: bloqueó activamente el proyecto de Ley de Electromovilidad por su costo fiscal (hasta S/44.000 millones estimados), tiene pendiente aprobar la adenda de US$200M del sistema de transporte Metropolitano, y creó una alternativa más acotada (el fondo FONELEC, S/5 millones, para transporte público). Es decir, prácticamente ningún avance financiero del sector ocurre sin que MEF decida primero.",6.0,"Creó el FONELEC en fideicomiso administrado por COFIDE, con participación de MINAM y ATU — articula a varios actores de tu propia matriz en un solo instrumento, aunque el reglamento operativo aún no se publica.",7.0,"Participa en procesos de presupuestación y políticas públicas que incorporan progresivamente enfoques de igualdad de género, aunque esta no constituye su función principal.",https://gestion.pe/g-de-gestion/infografias/sobre-ruedas-electromovilidad-en-peru-en-avance-y-un-futuro-de-alto-voltaje-empresas-toyota-aap-aedive-noticia/
12.0,Enel Perú / Enel X Perú,Empresa de energía e infraestructura de carga,"Empresa de distribución eléctrica y soluciones de electromovilidad, filial local del grupo italiano Enel.",Manejar de cerca,7.0,"Donó la primera infraestructura de carga a una entidad pública en el Perú (MINEM) y desarrolló, junto con Protransporte, MINEM, MTC y MINAM, un proyecto piloto de 2 años de bus eléctrico para generar líneas base para la electrificación masiva del transporte público limeño.",6.0,"Como empresa de distribución eléctrica y proveedor de infraestructura de carga, tiene incidencia directa sobre la oferta técnica y el conocimiento aplicado disponible para la electrificación del transporte.",3.0,"Empresa privada (filial de Enel, Italia); su legitimidad es de mercado y de know-how técnico, no institucional.",8.0,"Su modelo de negocio depende directamente de que avance la electrificación del transporte público: sin una Ley de Electromovilidad ni reglamento claro de infraestructura de carga, Enel X no puede escalar sus alianzas más allá de proyectos piloto aislados (Lima, Arequipa). ",7.0,"Es el actor privado con más alianzas multisectoriales demostradas en Perú: en Lima trabajó con Protransporte, GSEP e Hydro-Québec (2020); en Arequipa armó una alianza de 4 partes (Consorcio Integra, MODASA, SEAL, Municipalidad Provincial de Arequipa) para el primer bus eléctrico de esa región, con meta declarada de escalar a más de 100 e-buses.",8.0,"La organización mantiene políticas corporativas consolidadas de diversidad, inclusión y liderazgo femenino dentro de sus operaciones globales y regionales.","https://www.gob.pe/institucion/minem/noticias/606249-minem-impulsa-movilidad-electrica-en-el-pais
https://www.enel.pe/es/sostenibilidad/bus-electrico-revoluciona-el-transporte-publico.html"
13.0,Municipalidad Metropolitana de Lima,Entidad gubernamental de política y planificación,"Gobierno local de la ciudad de Lima, capital del Perú.",Manejar de cerca,6.0,Coordina junto con la ATU y el MTC la implementación de infraestructura de electromovilidad en la ciudad que concentra más del 70% del transporte público del país.,6.0,"Tiene facultad de ordenamiento territorial y de otorgamiento de autorizaciones de uso de vías, relevante para la instalación de carriles y estacionamientos exclusivos para vehículos eléctricos.",7.0,"Tiene facultad legal exclusiva sobre el Sistema Vial Metropolitano (autorización de vías arteriales, colectoras, carriles segregados), relevante para cualquier infraestructura de electromovilidad que requiera uso de vías.",4.0,"Su relevancia es indirecta, como autoridad vial de la ciudad donde ocurren los proyectos de otros actores (ATU, Rutas Verdes).",5.0,"Puede delegar funciones viales a municipalidades distritales mediante ordenanza, lo que le da un rol de coordinación potencial",7.0,Implementa programas de igualdad e inclusión en el ámbito municipal y puede incorporar estos enfoques en estrategias de movilidad urbana.,"https://limain.pe/transporte-electrico-lima-ing-erick-adelmo-ruiz-escajadillo/ 
https://portal.atu.gob.pe/tag/transporte-publico/"
14.0,Instituto Nacional de Calidad (INACAL),"Normalización, certificación y acreditación",Organismo público rector del Sistema Nacional para la Calidad del Perú.,Mantener satisfecho,3.0,Aprueba las Normas Técnicas Peruanas (NTP) relacionadas a movilidad eléctrica que son elaboradas por el Comité Técnico de Normalización de Transporte Eléctrico,6.0,Tiene la facultad exclusiva de aprobar formalmente las normas técnicas que rigen la interoperabilidad y seguridad de la infraestructura de carga en el país.,,,,,,,4.0,"Su misión se enfoca en normalización, acreditación y calidad, con una vinculación limitada a políticas específicas de género.",https://www.gob.pe/institucion/minem/noticias/606249-minem-impulsa-movilidad-electrica-en-el-pais 
15.0,Banco Mundial,Cooperación internacional y organismos multilaterales,Institución financiera internacional multilateral.,Mantener satisfecho,4.0,Ha sido la fuente de financiamiento a la que la ATU ha recurrido explícitamente para el mantenimiento del Metropolitano necesario para su electrificación; también financia proyectos de transporte limpio en la región.,6.0,Su capacidad de otorgar o condicionar financiamiento multilateral de gran escala le da influencia estructural sobre los términos de los proyectos que apoya en el país.,,,,,,,10.0,"Cuenta con una de las agendas institucionales más robustas para integrar igualdad de género en infraestructura, transporte, energía y desarrollo económico.","https://latamobility.com/lima-electromovilidad-en-transporte-publico/
 https://limain.pe/transporte-electrico-lima-ing-erick-adelmo-ruiz-escajadillo/"
16.0,Banco Interamericano de Desarrollo (BID),Cooperación internacional y organismos multilaterales,Banco multilateral de desarrollo que financia proyectos de infraestructura en América Latina.,Hacer seguimiento,4.0,Ha financiado proyectos piloto de electromovilidad en el Perú y ha sugerido modelos de leasing para facilitar la migración tecnológica de flotas de transporte público.,4.0,Su rol es de banca de segundo piso con capacidad de condicionar y estructurar financiamiento técnico para proyectos de electrificación del transporte.,,,,,,,10.0,"La igualdad de género constituye una prioridad transversal de sus operaciones, acompañada de metodologías, asistencia técnica e indicadores específicos.",https://limain.pe/transporte-electrico-lima-ing-erick-adelmo-ruiz-escajadillo/
17.0,CAF (Banco de Desarrollo de América Latina y el Caribe),Cooperación internacional y organismos multilaterales,"Banco multilateral de desarrollo regional, autodenominado ""Banco Verde y del Crecimiento Sostenible"" de América Latina",Manejar de cerca,6.0,"Anunció un compromiso récord de US$18.000 millones hasta 2035 para transporte regional, priorizando explícitamente la ""electrificación de flotas""; ya financió US$172 millones al sector transporte peruano (MEF/MTC) en el pasado.
Adicionalmente, CAF ya financió con US$300 millones la Línea 1 Tramo 2 del Metro de Lima (Av. Grau – San Juan de Lurigancho), mediante un contrato de préstamo firmado directamente con el MEF.",6.0,"Es uno de los mayores financiadores de infraestructura de transporte de la región, con capacidad de condicionar términos técnicos y ambientales a sus préstamos.",6.0,"Institución multilateral con reconocimiento regional como banco de desarrollo, pero sin mandato de autoridad nacional peruana.",6.0,"Tiene comprometido US$18.000 millones hasta 2035 para transporte regional priorizando explícitamente ""electrificación de flotas"", y tiene precedente concreto en Lima (US$300 millones para la Línea 1 del Metro). Sin embargo, al ser un actor regional con múltiples países en su portafolio, por lo que su urgencia puntual sobre Perú es moderada.",8.0,"Es el actor con mayor red de coordinación multilateral de tu matriz: trabaja con BID, Banco Mundial, gobiernos locales y la FIA Foundation.",8.0,"Desarrolló junto con FIA Foundation el estudio ""Ella Se Mueve Segura"" (2018, actualizado en 2026), que analiza específicamente la violencia de género en el transporte público de Lima, como parte del Observatorio de Género y Movilidad (OBGEM) de América Latina, alineado con la propia Estrategia para la Igualdad de Género de CAF.",https://www.rumbominero.com/peru/noticias/economia/caf-invertira-en-el-transporte-regional-hasta-2035-america-latina/
18.0,COFIDE (Corporación Financiera de Desarrollo),Banca de desarrollo y financiamiento,Banco de desarrollo de propiedad del Estado peruano.,Hacer seguimiento,3.0,"Ha participado en eventos de CEPAL sobre el rol de la banca de desarrollo en el financiamiento de movilidad sostenible en la región, junto a BID y CAF. ",3.0,"Como banco de desarrollo nacional, tiene la capacidad institucional de canalizar financiamiento a proyectos de electromovilidad si el Estado peruano decide priorizarlo",,,,,,,8.0,"Ha incorporado criterios de sostenibilidad, inclusión financiera y apoyo al emprendimiento, contribuyendo al fortalecimiento de oportunidades para distintos grupos poblacionales.",https://www.cepal.org/es/notas/cepal-analiza-rol-la-banca-desarrollo-financiamiento-la-movilidad-sostenible-la-region
19.0,AEDIVE Perú (Asociación de Emprendedores para el Desarrollo e Impulso del Vehículo Eléctrico),Gremio o asociación sectorial,Asociación gremial peruana dedicada exclusivamente a la promoción de la movilidad eléctrica.,Mantener informado,6.0,Es la fuente citada de las estadísticas oficiales de venta de vehículos electrificados en Perú. También organizó el lanzamiento oficial del Plan Nacional de Masificación de Infraestructura de Carga (PNMIC) 2022-2025.,3.0,"Es una asociación de interlocución reconocida por el sector público, pero sin atribuciones regulatorias ni presupuestales propias",,,,,,,4.0,"Su actividad principal está centrada en la promoción de la movilidad eléctrica, sin una agenda de género claramente diferenciada.","https://gestion.pe/economia/vehiculos-electricos-en-peru-electromovilidad-el-reto-por-mas-electrolineras-automotriz-noticia/
https://www.gob.pe/institucion/minem/noticias/590041-minem-se-viene-trabajando-el-reglamento-de-infraestructura-de-carga-de-movilidad-electrica "
20.0,ACTU (Asociación de Concesionarios de Transporte Urbano),Gremio o asociación sectorial,Asociación gremial que agrupa a los concesionarios de transporte urbano convencional de Lima (distinta de las 4 concesionarias del Metropolitano).,Mantener informado,6.0,"Trabaja en la licitación para la compra masiva de 390 buses eléctricos, según anunció el director ejecutivo del MINAM, como parte del cumplimiento del Decreto de Emergencia Climática — la iniciativa de electrificación de mayor escala numérica identificada en todo el sector peruano (superando incluso a las 95 de ""Rutas Verdes"" y los 60 del Metropolitano).",4.0,"Representa a los concesionarios que decidirían la compra real de estas 390 unidades, dándole peso de ejecución más allá de lo puramente gremial.",,,,,,,4.0,"Representa los intereses del sector operador de transporte, con limitada evidencia de programas específicos de igualdad de género.",https://www.mobilityportal.eu/es/notes/gobierno-ilusiona-con-mas-buses-electrificados-tras-nuevo-proyecto-de-ley-en-peru
21.0,MODASA,"Fabricante de buses, chasis o carrocerías","El principal fabricante peruano de carrocerías y ensamblador de buses del país. Fundada en 1974 con socios originales AB Volvo (Suecia), Perkins Engines (Reino Unido) y COFIDE/Induperú del Estado peruano; hoy es 100% capital privado peruano.",Manejar de cerca,9.0,"Fabricó los 450 buses originales del Metropolitano (200 articulados + 250 alimentadores) tras ganar la licitación de la Municipalidad de Lima en 2010; presentó en 2020 el primer bus eléctrico fabricado en Perú (Modasa E-Titán); exporta a más de 20 países de Latinoamérica y obtuvo el 2° lugar en el ranking ADEX de exportadoras del sector metalmecánico en 2024, con un crecimiento del 12% en 2024. Invierte US$4 millones en modernizar su planta (automatización, robotización de logística interna).
",7.0,"Es el proveedor histórico y dominante del sistema BRT más grande del país (Metropolitano), lo que le da una posición privilegiada para ganar futuras licitaciones de electrificación de flota, aunque no tiene facultad regulatoria.",2.0,"Empresa privada 100% capital peruano; su reconocimiento es comercial (proveedor histórico del Metropolitano desde 2009), no institucional.",8.0,"Su estrategia de crecimiento depende directamente de que se concreten las licitaciones públicas de buses eléctricos. Mientras esas licitaciones no avanzan, MODASA ha tenido que diversificarse hacia el sector minero, empujando este actor a buscar mercado en otro lado",5.0,"Amplió su red vía alianzas comerciales (talleres en Colombia, próximo en México) y participó en el consorcio con Enel X, SEAL, Municipalidad de Arequipa; también invierte activamente (20% más capacidad en su planta de Lurín) anticipándose a demanda futura.",7.0,"Ha impulsado iniciativas de desarrollo del talento y diversidad dentro de su organización, aunque el enfoque de género no constituye un eje central de su actividad industrial.",https://gestion.pe/economia/empresas/modasa-y-su-ruta-de-crecimiento-internacional-con-buses-y-grupos-electrogenos-industria-nacional-sector-automotriz-metalmecanica-exportaciones-peruanas-noticia/
22.0,Clave7,Empresa de energía e infraestructura de carga,"Empresa peruana ensambladora de carrocerías de buses, con planta industrial en Lima, especializada en buses turísticos, urbanos, interprovinciales y de transporte de personal (principalmente para el sector minero), trabajando sobre chasis Mitsubishi, Hino, Hyundai, Volvo y Mercedes-Benz.",Hacer seguimiento,3.0,"Es un jugador secundario del mercado de carrocerías, sin evidencia de participación en proyectos de electromovilidad hasta el momento; su nicho es transporte turístico, minero e interprovincial.",2.0,"Escala mucho menor que MODASA, sin participación documentada en licitaciones públicas grandes como el Metropolitano.",,,,,,,4.0,"Su actividad está asociada principalmente a soluciones tecnológicas y energéticas, sin evidencia significativa de programas estructurados de género.",https://www.clave7.com/nosotros.html
