#,Actor,Categoria,Justificacion_Inclusion,Mendelow,Interes,Justificacion_Interes,Poder,Justificacion_Poder,Legitimidad,Justificacion_Legitimidad,Urgencia,Justificacion_Urgencia,Capacidad_Articulacion,Justificacion_Articulacion,Genero,Justificacion_Genero,Observaciones
11.0,Anglo American Chile,Usuarios de flota y demanda de mercado,Empresa minera internacional con operaciones relevantes de cobre en Chile.,Mantener satisfecho,4.0,"Su flota interurbana eléctrica (la más grande del país) es la evidencia concreta de un interés ya ejecutado, no solo una meta de descarbonización declarativa.",7.0,"Implementó la flota interurbana eléctrica más grande del país, dentro de su meta de carbono neutralidad a 2040, con suministro 100% renovable en todas sus operaciones chilenas.",,,,,,,6.0,"Mantiene políticas activas de inclusión y diversidad de género documentadas a nivel regional (Los Bronces, Collahuasi), dentro de su meta de carbono neutralidad a 2040, aunque sin una cifra de participación femenina específica publicada para sus operaciones en Chile.",amchamchile.cl/en/noticia/anglo-american-implementa-la-flota-interurbana-electrica-mas-grande-del-pais/
12.0,Teck Resources Chile,Usuarios de flota y demanda de mercado,Compañía minera canadiense operadora de Quebrada Blanca y Carmen de Andacollo.,Mantener satisfecho,4.0,"En Quebrada Blanca (QB2) opera camiones autónomos eléctricos Caterpillar 794AC (con Finning), y lanzó junto a Hualpén su primera flota de buses eléctricos para transporte de personal (King Long 6130E, vans Maxus EV80).",6.0,"Sus operaciones chilenas produjeron aproximadamente 248.000 toneladas de cobre en 2024, otorgándole capacidad relevante de inversión y compra tecnológica.",,,,,,,5.0,"Documentó en 2025, a través de la plataforma de Consejo Minero, una iniciativa propia de equidad de género en Quebrada Blanca, evidencia concreta pero sin cifras de participación femenina reportadas públicamente.",energiminas.com/teck-opta-por-camiones-electricos-y-autonomos-caterpillar-para-su-proyecto-qb2/; quebradablancafase2.cl
13.0,Freeport-McMoRan,Usuarios de flota y demanda de mercado,Empresa minera internacional que opera la mina de cobre El Abra.,Mantener satisfecho,3.0,"El Abra utilizó electricidad 100 % renovable en 2023 y 2024, pero no se identificaron proyectos locales significativos de vehículos o maquinaria eléctrica.",6.0,Su escala global y la operación de El Abra le otorgan influencia como productor de cobre y comprador de energía y tecnología minera.,,,,,,,5.0,"Documentó una iniciativa de equidad de género en El Abra a través de la plataforma de Consejo Minero, pero sin métricas de participación femenina ni programas nombrados.",https://www.fcx.com/sites/fcx/files/documents/sustainability/2024-annual-report-on-sustainability.pdf
14.0,Albemarle,Usuarios de flota y demanda de mercado,Empresa internacional que extrae y procesa litio en Chile.,Manejar de cerca,8.0,Su producción está directamente orientada al mercado de baterías y además ha realizado pruebas de tecnologías de extracción directa de litio en Chile.,7.0,Es uno de los dos grandes productores de litio del Salar de Atacama y su planta La Negra supera las 85.000 toneladas anuales de carbonato de litio grado batería,6.0,"Es uno de los dos únicos productores de litio bajo el régimen especial de contrato CORFO en el Salar de Atacama, con una planta (La Negra) que supera las 85.000 toneladas anuales de carbonato de litio grado batería ",8.0,"Su producción está directamente orientada al mercado de baterías y ha realizado pruebas de tecnologías de extracción directa de litio en Chile, aunque su contrato se extiende hasta 2043, un horizonte más largo que el de SQM antes del cambio a participación estatal mayoritaria.",6.0,"Colabora con organismos públicos, empresas privadas y actores vinculados al desarrollo tecnológico y productivo, según su propia justificación institucional.",5.0,"Mantiene iniciativas corporativas de diversidad y desarrollo de talento en su planta La Negra, de carácter general y sin cifras propias de participación femenina publicadas para su operación en Chile.",https://www.albemarle.com/cl/en/what-we-offer/reliable-supply/la-negra
15.0,Consejo Minero,Gremio o asociación sectorial,Asociación gremial que reúne a las principales empresas mineras de gran escala de Chile.,Mantener satisfecho,4.0,"Difunde y articula iniciativas de electrificación minera, pero la ejecución depende principalmente de sus empresas asociadas.",7.0,"Sus empresas socias producen el 94% del cobre, 96% del hierro, 90% de la plata y 63% del oro y litio de Chile; su presidente ha vinculado públicamente el rol del cobre chileno con la electromovilidad global (sept. 2025).",,,,,,,6.0,"A diferencia de sus empresas socias, su rol no es tener una política de género propia, sino coordinar y publicar activamente en una plataforma pública las iniciativas de equidad de género de las principales mineras del país, una función de visibilización sectorial, no de ejecución directa.",en.wikipedia.org/wiki/Consejo_Minero; latercera.com
16.0,Ministerio de Energía,Entidad gubernamental de política y planificación,Organismo responsable de formular y coordinar la política energética nacional.,Manejar de cerca,10.0,"Mantiene la meta de que el 100 % de las ventas de vehículos livianos y medianos sean cero emisiones en 2035, con una meta intermedia de 20% en 2030.",10.0,"Lidera la Estrategia Nacional de Electromovilidad y define metas, regulación e instrumentos para vehículos e infraestructura de carga.",10.0,"Casi todos los demás actores de la matriz (públicos y privados) justifican su propia relevancia citando las metas o el marco del Ministerio de Energía (2035/2030, Acuerdo Público-Privado). Es la autoridad de referencia de todo el ecosistema, no solo una entidad con mandato legal.",10.0,"Sus metas tienen fecha de cumplimiento definida y un hito intermedio verificable en 2030, lo que demuestra una hoja de ruta activa y no solo una aspiración declarativa.",6.0,"Es uno de los principales articuladores del Acuerdo Público-Privado por la Electromovilidad, coordinando permanentemente organismos públicos, empresas, gremios y entidades técnicas",7.0,"Mantiene una Oficina de Género y DDHH propia y ha ejecutado programas concretos como el de liderazgo para 31 mujeres del sector energético en la Región Metropolitana (2024), además de co-financiar Energía+Mujeres con meta de 5.000 mujeres líderes al 2030.","https://energia.gob.cl/sites/default/files/documentos/estrategia_nacional_de_electromovilidad_2030.pdf
"
17.0,Ministerio de Transportes y Telecomunicaciones,Entidad gubernamental de política y planificación,"Ministerio encargado de las políticas, regulación y planificación del transporte en Chile.",Manejar de cerca,10.0,"Red Movilidad alcanzó 4.000 buses eléctricos, equivalentes al 59 % de su flota, y existen 396 buses eléctricos operativos en regiones.",10.0,"Controla licitaciones, estándares y concesiones del transporte público, por lo que determina gran parte de la demanda nacional de buses eléctricos.",9.0,"Controla licitaciones, estándares y concesiones del transporte público, determinando gran parte de la demanda nacional de buses eléctricos. Una autoridad real y ejercida, evidenciada en los más de 4.000 buses eléctricos incorporados a Red Movilidad.",7.0,"En 2026 un recorte presupuestario de $51 mil millones aplicado al MTT paralizó proyectos concretos de electromovilidad ya en marcha, como la incorporación de 116 buses eléctricos en Osorno y la operación de buses eléctricos en Arica por falta de subsidios.Esto evidencia  que su capacidad de ejecución actual está siendo limitada por restricciones fiscales, no solo por falta de voluntad institucional.",6.0,"Coordina operadores, fabricantes, gobiernos regionales y organismos nacionales, según su propia justificación institucional.",7.0,"Lidera el Programa Mujeres Conductoras junto al Ministerio de la Mujer, con resultados medibles: 1.739 conductoras (10% de la dotación total de Red Movilidad) y un crecimiento del 98% en dos años. El programa de género con más ejecución y cifra concreta de todo el sector transporte.","https://www.reporteminero.cl/noticia/energias-limpias/2026/02/santiago-supera-los-4000-buses-electricos-y-consolida-la-mayor-flota-cero-emision-de-latinoamerica
"
18.0,Ministerio del Medio Ambiente,Entidad gubernamental de política y planificación,"Organismo responsable de las políticas ambientales, climáticas y de calidad del aire.",Manejar de cerca,7.0,Impulsa el proyecto CLETS para promover marcos normativos y transporte de cero y bajas emisiones; el programa capacitó a 448 personas en electromovilidad.,8.0,Define normas y metas de reducción de emisiones que influyen directamente en la sustitución de vehículos contaminantes.,7.0,"Impulsa el proyecto CLETS, que capacitó a 448 personas en electromovilidad, un programa real y medible, aunque de alcance más acotado (formación técnica) que la definición de metas nacionales de flota o infraestructura.",5.0,"Contribuye a metas climáticas y de calidad del aire, pero su instrumento principal en electromovilidad es un programa de capacitación, de escala más modesta que las metas de flota o infraestructura de los ministerios líderes.",6.0,"Articula acciones con otros ministerios, gobiernos locales y organizaciones públicas y privadas, según su propia justificación institucional.",4.0,"Incorpora enfoques transversales de sostenibilidad e inclusión en sus políticas, pero sin un programa de género nombrado ni cifras propias de participación femenina, a diferencia de Energía o el MTT.",https://mma.gob.cl/proyecto-clets-del-ministerio-de-medio-ambiente-y-aiep-concluyen-exitosos-cursos-gratuitos-de-capacitacion-en-electromovilidad-en-todo-chile/
19.0,CORFO,Entidad gubernamental de política y planificación,"Agencia estatal encargada de fomentar la inversión, innovación y desarrollo productivo.",Manejar de cerca,9.0,"Además de financiar el CASE, administra un hito con fecha concreta: la transición a participación estatal mayoritaria en la explotación de litio de SQM a partir de 2030, lo que le da un interés regulatorio con plazo definido, no solo de fomento genérico.",9.0,"Administra los contratos de arriendo y regalías del litio con SQM y Albemarle bajo el régimen especial chileno, más allá de financiar el CASE.",9.0,"Además de financiar la creación del CASE, es la agencia que administra directamente los contratos de arriendo y regalías del litio con SQM y Albemarle bajo el régimen especial chileno",8.0,"El plazo de 2030 en el contrato de SQM no es solo administrativo: es la ventana para exigir que Chile pase de exportar litio a producir componentes de batería con mayor valor agregado, objetivo central de la Estrategia Nacional del Litio. Si CORFO no lo logra en ese plazo, Chile se queda como exportador de materia prima.",8.0,"Posee una destacada capacidad de articulación entre empresas, centros tecnológicos, universidades y entidades públicas, y además negocia directamente con dos de los mayores productores de litio del mundo",4.0,"Incorpora criterios de inclusión en sus programas de innovación y financiamiento empresarial de forma transversal, pero no tiene un fondo o línea específica de género vinculada a electromovilidad, a diferencia del Ministerio de Energía.","https://wapp4.corfo.cl/archivos/WCSCONTI/DOCS/CUENTAPUBLICA2021.pdf
https://obtienearchivo.bcn.cl/obtienearchivo?id=repositorio/10221/32179/1/BCN___Ingresos_fiscales_por_contratos_de_explotacion_del_litio.pdf
https://obtienearchivo.bcn.cl/obtienearchivo?id=repositorio/10221/32179/1/BCN___Ingresos_fiscales_por_contratos_de_explotacion_del_litio.pdf"
20.0,Agencia de Sostenibilidad Energética,Entidad gubernamental de política y planificación,Institución que implementa programas públicos de eficiencia energética y movilidad sostenible.,Manejar de cerca,10.0,"Ejecuta Mi Taxi Eléctrico, que ya había entregado 250 vehículos a junio de 2025, además de programas regionales para taxis colectivos eléctricos.",8.0,"Posee alta capacidad de ejecución y articulación público-privada, aunque no cuenta con facultades regulatorias propias.",6.0,"Ejecutó el programa Mi Taxi Eléctrico, que ya había entregado 250 vehículos a junio de 2025, una cifra concreta de ejecución real. Sin embargo, su propia justificación institucional reconoce explícitamente que ""no cuenta con facultades regulatorias propias"" — para el eje específico de este proyecto (regulación, impuestos, incentivos).",8.0,"La ejecución activa y medible de programas de renovación tecnológica y apoyo a la adopción de vehículos eléctricos evidencia una urgencia operativa real, no solo declarada.",7.0,"Coordina entidades públicas, operadores, empresas y usuarios finales, según su propia justificación institucional.",6.0,Su Oficina Temática de Educación y Género participó activamente en el programa de liderazgo para 31 mujeres del sector energético (2024) junto al Ministerio de Energía.,"https://www.agenciase.org/2025/06/06/250-vehiculos-electricos-entregados-en-la-historia-de-mi-taxi-electrico/
https://www.agenciase.org/2025/06/06/250-vehiculos-electricos-entregados-en-la-historia-de-mi-taxi-electrico/"
21.0,Comisión Nacional de Energía,Entidad gubernamental reguladora,Organismo técnico responsable de elaborar y coordinar la regulación económica y normativa del sector energético chileno. Define lineamientos que influyen en la integración de la infraestructura de carga al sistema eléctrico y en las condiciones de suministro para la movilidad eléctrica. ,Manejar de cerca,8.0,La expansión de la electromovilidad requiere una adecuada planificación e integración con la infraestructura eléctrica. La CNE participa en el desarrollo de normas y lineamientos que facilitan el despliegue de infraestructura de carga y la implementación de políticas nacionales de transición energética. ,9.0,Aprueba los Pliegos de Normas Técnicas que la SEC dicta para infraestructura de carga (Decreto Supremo N°8) y participó en el desarrollo del Decreto N°12 de 2022 que aprueba el reglamento de interoperabilidad.,8.0,"Sus decisiones regulatorias afectan directamente las condiciones de conexión, operación e integración de la infraestructura de carga al sistema eléctrico nacional",7.0,"Participa en el desarrollo de normas y lineamientos que facilitan el despliegue de infraestructura de carga, aunque sin un hito o plazo específico y públicamente verificable",6.0,"Mantiene interacción permanente con ministerios, reguladores, empresas energéticas y otros organismos públicos, según su propia justificación institucional.",1.0,No se encontró evidencia de un programa o política de género específica en su operación en Chile.,https://www.bcn.cl/leychile/Navegar?idNorma=1202154
22.0,Superintendencia de Electricidad y Combustibles,Entidad gubernamental reguladora,"Organismo encargado de supervisar, fiscalizar y velar por el cumplimiento de la normativa de seguridad y operación de las instalaciones eléctricas y de combustibles en Chile, incluyendo la infraestructura de carga para vehículos eléctricos. ",Manejar de cerca,8.0,"La infraestructura de carga constituye un ámbito regulatorio creciente dentro de sus funciones de supervisión. La entidad participa activamente en la implementación y fiscalización de estándares asociados a seguridad, interoperabilidad, calidad de servicio y cumplimiento normativo para los sistemas de recarga de vehículos eléctricos.",9.0,"Administra el Pliego Técnico Normativo RIC N°15 (estaciones de carga), el trámite TE6 de registro de cargadores, y actualizó la Plataforma de Autorización de Productos mediante Resolución Exenta N°26.804 (jul. 2024).",9.0,"Tiene la autoridad legal para autorizar, fiscalizar y exigir el cumplimiento de requisitos técnicos y de seguridad en estaciones de carga públicas y privadas, y es la entidad responsable de implementar el Reglamento de Interoperabilidad",7.0,"La creciente adopción de vehículos eléctricos incrementa la necesidad de fiscalización, pero su rol es fundamentalmente de cumplimiento normativo posterior a que otros organismos (Ministerio de Energía, CNE) definan la política, no de definición de metas o dirección estratégica.",5.0,"Mantiene interacción permanente con organismos públicos, empresas energéticas, desarrolladores tecnológicos y operadores, según su propia justificación institucional, aunque enmarcada como relación de supervisión más que de coordinación estratégica.",1.0,No se encontró evidencia de un programa o política de género específica en su operación en Chile.,https://www.sec.cl/electromovilidad/
23.0,Servicio de Impuestos Internos (SII),Entidad gubernamental reguladora,Entidad responsable de la administración tributaria y fiscalización de los impuestos en Chile.,Mantener satisfecho,4.0,"Su participación se concentra en la administración y control tributario. La electromovilidad no constituye una prioridad institucional directa, sino un ámbito donde debe implementar disposiciones definidas por el Gobierno.",6.0,"La aplicación de incentivos tributarios, depreciaciones aceleradas, tratamiento del IVA y otros mecanismos fiscales puede afectar la viabilidad económica de proyectos relacionados con movilidad eléctrica e infraestructura de carga.",,,,,,,1.0,No se encontró evidencia de un programa o política de género específica en su operación en Chile.,
24.0,Ministerio de Hacienda de Chile,Entidad gubernamental de política y planificación,"Ministerio responsable de la política fiscal, tributaria, presupuestaria y financiera del Estado chileno. Participa en el diseño y aprobación de incentivos económicos, mecanismos tributarios y programas de financiamiento.",Mantener satisfecho,5.0,"La electromovilidad contribuye a objetivos nacionales de crecimiento sostenible, productividad, competitividad y transición energética. Sin embargo, la infraestructura de carga representa solo una parte de su agenda institucional, por lo que su involucramiento es principalmente económico y fiscal, más que operativo o sectorial.",8.0,"Tiene capacidad para definir o aprobar instrumentos fiscales, beneficios tributarios, incentivos económicos y programas de financiamiento que afectan la viabilidad de inversiones en vehículos eléctricos, infraestructura de carga y tecnologías asociadas.",10.0,"Los principales incentivos tributarios que sostienen la adopción de vehículos eléctricos en Chile (exención del permiso de circulación, exención del impuesto verde y depreciación acelerada para empresas) están definidos bajo la Ley 21.505, un instrumento fiscal cuyo diseño y aprobación caen directamente dentro de las competencias del Ministerio de Hacienda como responsable de la política tributaria del Estado.",5.0,"Su propia justificación institucional es clara: ""la infraestructura de carga representa solo una parte de su agenda institucional, por lo que su involucramiento es principalmente económico y fiscal, más que operativo o sectorial"", no tiene una meta o plazo propio sobre electromovilidad.",8.0,"Posee una elevada capacidad de articulación con ministerios, agencias públicas, entidades financieras y organismos internacionales, según su propia justificación institucional.",1.0,No se encontró evidencia de un programa o política de género específica en su operación en Chile.,https://www.nss.cl/blog/vehiculos-electricos-chile-beneficios-tributarios
25.0,CASE (Centro de Aceleración Sostenible de Electromovilidad),Gremio o asociación sectorial,Centro tecnológico liderado por la Universidad de Chile y apoyado por CORFO.,Mantener informado,10.0,"Fue creado específicamente para acelerar la electromovilidad mediante proyectos de I+D+i, formación y apoyo a políticas públicas.",5.0,"Articula empresas, universidades y sector público para desarrollar tecnología y capacidades, aunque no posee poder regulatorio ni financiero propio de gran escala.",,,,,,,1.0,No se encontró evidencia de un programa o política de género específica en su operación en Chile.,
26.0,Centro de Movilidad Sostenible (CMS),Gremio o asociación sectorial,Organización dedicada a investigación y asistencia técnica en movilidad sostenible.,Mantener informado,9.0,"Sus áreas prioritarias incluyen electrificación del transporte público, baterías y descarbonización de flotas.",4.0,"Influye mediante estudios, pilotos y asesoría a operadores y reguladores, pero no controla inversiones ni decisiones públicas.",,,,,,,1.0,No se encontró evidencia de un programa o política de género específica en su operación en Chile.,
27.0,SOFOFA,Gremio o asociación sectorial,Federación gremial que representa a empresas y asociaciones del sector industrial chileno.,Mantener satisfecho,5.0,"Ha promovido discusiones sobre transporte de bajas emisiones, pero la electromovilidad es solo una parte de su agenda productiva.",7.0,Su amplia representación empresarial y capacidad de interlocución con el Gobierno le otorgan alta influencia sobre políticas industriales.,,,,,,,1.0,No se encontró evidencia de un programa o política de género específica en su operación en Chile.,
28.0,Universidad de Chile – Centro de Energía,Academia e investigación,"Centro académico dedicado a investigación, formación y desarrollo tecnológico en energía.",Mantener informado,8.0,"Lidera CASE y desarrolla formación y proyectos aplicados en diseño, operación y mantenimiento de flotas eléctricas.",5.0,"Aporta conocimiento técnico, capital humano y asesoría para políticas y proyectos, aunque no posee capacidad regulatoria o industrial directa.",,,,,,,1.0,No se encontró evidencia de un programa o política de género específica en su operación en Chile.,
29.0,Pontificia Universidad Católica de Chile,Academia e investigación,"Universidad con investigación y formación en energía, transporte e ingeniería.",Mantener informado,7.0,"Mantiene programas e investigación específicos en energía y electromovilidad, aunque representan solo una parte de su actividad institucional.",5.0,Su prestigio académico y vínculos con empresas y Gobierno le permiten influir técnicamente en el desarrollo del sector.,,,,,,,1.0,No se encontró evidencia de un programa o política de género específica en su operación en Chile.,
30.0,Fraunhofer Chile,Academia e investigación,Centro de investigación aplicada vinculado a la red internacional Fraunhofer.,Mantener informado,8.0,"Investiga sistemas de carga, transporte eléctrico y combustibles limpios para minería e industria, aunque su participación local directa es acotada.",4.0,"Posee capacidad tecnológica y de transferencia de conocimiento, pero su influencia financiera, industrial y regulatoria es limitada.",,,,,,,1.0,No se encontró evidencia de un programa o política de género específica en su operación en Chile.,
31.0,Women in Energy Chile,"Género, inclusión y equidad",Organización que promueve la participación y liderazgo de mujeres en la industria energética chilena.,Mantener informado,9.0,"Impulsa activamente la inclusión femenina en los sectores de energía, innovación y transición energética.",4.0,"Posee capacidad de articulación y generación de espacios de diálogo con empresas, reguladores y organizaciones del sector energético.",,,,,,,9.0,"Su misión institucional completa es la participación de mujeres en energía, innovación y transición energética.",
